2025-07-01-16-38-31 - 0000	 - IoU 0.0797	 - PD 0.6088	 - FA 936.0242
2025-07-01-16-38-54 - 0001	 - IoU 0.2137	 - PD 0.3980	 - FA 390.5795
2025-07-01-16-40-04 - 0004	 - IoU 0.2822	 - PD 0.1415	 - FA 234.6513
2025-07-01-16-40-29 - 0005	 - IoU 0.4366	 - PD 0.1393	 - FA 92.9951
2025-07-01-16-42-19 - 0009	 - IoU 0.4757	 - PD 0.0779	 - FA 35.0724
2025-07-01-16-43-39 - 0012	 - IoU 0.5191	 - PD 0.0617	 - FA 25.4313
2025-07-01-16-45-45 - 0017	 - IoU 0.5374	 - PD 0.0448	 - FA 33.5542
2025-07-01-16-47-47 - 0022	 - IoU 0.5536	 - PD 0.0375	 - FA 48.8129
2025-07-01-17-01-51 - 0044	 - IoU 0.5564	 - PD 0.0196	 - FA 32.1877
2025-07-01-17-02-43 - 0046	 - IoU 0.5597	 - PD 0.0178	 - FA 18.8268
2025-07-01-17-13-26 - 0066	 - IoU 0.5733	 - PD 0.0134	 - FA 45.1691
